Plant_Name,Scientific_Name,Description,Parts_Used,Weather_Conditions_Required_to_Grow,Chemical_Properties,Morphological_Features,Medicinal_Value,Worldwide_regions_Support_their_Growth,References
Custard Apple / Bullock's Heart / Ramphal,Annona reticulata,"Annona reticulata, commonly known as bullock's heart or Ramphal, is a small tree belonging to the Annonaceae family, native to India and tropical regions. It typically grows to a height of 5 to 10 meters and features thick, leathery leaves that are dark green and glossy. The tree produces distinctive, heart-shaped fruits that are yellowish-brown when ripe, with a creamy white flesh that is sweet and aromatic. The fruit is characterized by a pointed central fibrous core and a distinctly reticulated skin","Various parts of Annona reticulata are utilized in traditional medicine. The leaves are used to make teas and extracts that address a range of ailments, while the fruit is consumed fresh or incorporated into remedies. The bark and roots are often used in decoctions to treat conditions like dysentery and diarrhea.","Thriving in tropical climates, Annona reticulata grows best in temperatures between 20°C to 30°C, though it can survive as low as 3°C and goes dormant in winter. It requires a humid atmosphere and grows well in deep, rich, well-drained soils, especially in low-lying areas.","The plant contains potent phytochemicals. Acetogenins, such as annoreticuin and bullatacin, have cytotoxic effects against cancer cells, while phenolic compounds provide antioxidant benefits. Additionally, flavonoids and tannins contribute to the plant’s anti-inflammatory and antimicrobial activities.","Annona reticulata is distinct in appearance. The leaves are thick, leathery, and dark green with a glossy finish. The flowers have yellowish-green petals that emit a pleasant fragrance, and the heart-shaped fruits are thin-skinned, yellowish-brown when ripe, with creamy white, sweet flesh inside.","This species offers numerous health benefits. Extracts demonstrate anticancer properties by inhibiting cancer cell growth and migration in colon and breast cancers. Traditionally, it has been used to treat bacterial infections, constipation, ulcers, fever, epilepsy, and dysentery, with the leaves often used to soothe colic in infants. Its pharmacological activities include anti-hyperglycemic, analgesic, anti-inflammatory, and CNS depressant effects.","Annona reticulata is cultivated across multiple continents. In Asia, it is commonly found in India and Southeast Asia, while in Africa, it is grown as a dooryard fruit tree. It is also cultivated in South America for its edible fruit. The species thrives at elevations up to 1220 meters in India but does not grow well above 915 meters in Sri Lanka.",https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/annona-reticulata
Dahurian Angelica / Bai Zhi,Angelica dahurica,"Angelica dahurica, known as Dahurian Angelica or Bai Zhi, is a biennial herb from the Apiaceae family. It features large compound leaves and produces white flowers arranged in umbels.",The roots are primarily used for medicinal purposes.,This plant prefers cool temperate climates with well-drained soil rich in organic matter.,Contains essential oils and coumarins that contribute to its medicinal effects.,"This plant typically reaches a height of up to 1 meter, showcasing large, compound leaves that give it a robust appearance. The flowers are white and arranged in striking, umbrella-like clusters, adding an elegant touch to its morphology.","Used traditionally for treating headaches, nasal congestion, and skin disorders due to its anti-inflammatory properties.","Native to East Asia, particularly China and Japan.",https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/angelica-dahurica
Dan-Shen / Red Sage / Tan-Shen,Salvia miltiorrhiza,"Salvia miltiorrhiza is a deciduous perennial plant that grows 30 to 60 cm tall, with branching stems. It has widely spaced leaves that are both simple and divided.","The dried root of Salvia miltiorrhiza, known as Danshen, is the most commonly used part in traditional Chinese medicine. The plant also contains useful compounds in its leaves and flowers.","Danshen prefers well-drained soil, with about half a day of sunlight. It is hardy to approximately −10 °C (14 °F). Most Salvia seeds have a higher germination rate when exposed to light, though it is not required.","Chemical compounds isolated from danshen include salvianolic acid (or salvianolic acid B), dihydrotanshinone, miltirone, tanshinone I, and tanshinone IIA. Tanshinone IIA is one of the most abundant constituents of the root. The plant also contains polysaccharides, which have various pharmacological activities."," The 30 cm inflorescences are covered with hairs and sticky glands. Flowers grow in whorls, with light purple to lavender blue corollas that are approximately 2.5 cm long, with a dark purple calyx.","In traditional Chinese medicine, Salvia miltiorrhiza is used alone or combined with other herbs to treat various cardiovascular and cerebrovascular diseases. It exhibits diverse biological functions, such as anti-tumor, anti-oxidative stress, anti-thrombosis, anti-inflammatory, anti-liver fibrosis and anti-diabetes activities.","Native to China and Japan, danshen grows at 90 to 1,200 m (300 to 3,940 ft) elevation, preferring grassy places in forests, hillsides, and along stream banks in the west and southwest provinces of China.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/salvia-miltiorrhiza
Dandelion,Taraxacum officinale,"Taraxacum officinale, commonly known as the common dandelion, is a perennial herbaceous plant that belongs to the Asteraceae family. It has a basal rosette of leaves and produces bright yellow flower heads that mature into spherical seed heads.","All parts of the dandelion plant are edible and have medicinal properties, including the leaves, stems, flowers, and roots.",Dandelions are hardy plants that can grow in a wide range of soil types and climatic conditions. They thrive in full sun to partial shade and prefer well-drained soil. Dandelions are tolerant of drought and can grow in poor soil conditions.,"Dandelions contain various phytochemicals, including terpenoids, flavonoids, coumarins, and phenolic acids. The plant is a rich source of vitamins A, C, and K, as well as minerals such as iron, calcium, and potassium.",Dandelions have a basal rosette of deeply lobed leaves that can grow up to 30 cm long. The leaves are dark green with reddish veins. The flower heads are solitary and measure 2-5 cm in diameter. The fruits are achenes with a pappus that allows them to be dispersed by wind.,"Dandelions have been used in traditional medicine for centuries to treat various ailments. They are believed to have diuretic, anti-inflammatory, and antioxidant properties. Dandelion extracts have been studied for their potential to treat liver disorders, diabetes, and certain types of cancer.","Dandelions are found throughout the world, including Europe, Asia, Africa, and North and South America. They are considered a weed in many regions but are also cultivated as a vegetable and medicinal herb.","https://pmc.ncbi.nlm.nih.gov/articles/PMC9498421/#:~:text=The%20results%20from%20the%20in,mice%20with%20alloxan%2Dinduced%20diabetes."
Daru haridra / Daruhaldi / Indian barberry,Berberis aristata,"Berberis aristata, commonly known as Indian barberry or Daruhaldi, is a spiny evergreen shrub native to the Himalayas. It can grow up to 3 meters tall and has yellow flowers and red berries","The root, stem, and bark of Berberis aristata are commonly used in traditional medicine.","Berberis aristata thrives in cool, temperate climates and is found at high altitudes in the Himalayas.","The plant contains several important phytochemicals, including the alkaloid berberine, which is the key active ingredient found in the stem and root parts. Other compounds include tetrahydropalmatine, palmatine, and jatrorrhizine.","Berberis aristata is a woody, spiny shrub with yellow flowers and red berries. The leaves are simple, obovate, and spiny-toothed. The plant has yellow wood and a thick, furrowed bark.","Berberis aristata has been used in traditional medicine to treat various ailments, including inflammation, irritation, wounds, skin infections, fever, diabetes, and cancer. The plant has antibacterial, antimicrobial, antihepatotoxic, antidiabetic, anticancer, antioxidant, and hypolipidemic properties.","Berberis aristata is native to the Himalayas and is found in India, Nepal, Bhutan, and Pakistan.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4078475/
Date Palm,Phoenix dactylifera,"Phoenix dactylifera, commonly known as the date palm, is a flowering plant species from the palm family Arecaceae. It can grow up to 30 meters tall with a single trunk topped by a crown of large feathery leaves.","The fruit (dates), leaves, bark, and sap are all utilized for various purposes.",Date palms thrive in hot desert climates with well-drained sandy soils. They require full sun exposure and minimal rainfall for optimal growth.,"Dates are rich in sugars (fructose), vitamins (especially B vitamins), minerals (potassium), and antioxidants which contribute to their health benefits.",The tree has a tall trunk with a crown of long pinnate leaves; dates grow in clusters hanging from the branches.,Dates are known for their nutritional value; they provide energy and have health benefits such as improving digestion and providing antioxidants.,"Date palms are predominantly cultivated in Middle Eastern countries but have also spread to North Africa, California (USA), and parts of South Asia","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6394164/#:~:text=The%20fruits%20are%20nutrient%20rich,bioactivities%20against%20several%20bacterial%20pathogens."
Devil's claw / Kalahari devil's claw,Harpagophytum procumbens,"Harpagophytum procumbens, commonly known as Devil's Claw, is a perennial herbaceous plant native to southern Africa. It is a member of the Pedaliaceae family and is characterized by its distinctive hooked fruits that cling to passing animals for seed dispersal.",The primary parts of the Harpagophytum procumbens plant used for medicinal purposes are the secondary roots and tubers. These underground structures contain the active compounds responsible for the plant's therapeutic effects.,"Harpagophytum procumbens thrives in hot, arid climates and is well-adapted to the Kalahari Desert region of southern Africa. It requires full sun exposure and well-drained, sandy soils to grow optimally.","The secondary roots and tubers of Harpagophytum procumbens contain a variety of bioactive compounds, including iridoid glycosides (such as harpagoside), phenolic compounds, and triterpenoids. These compounds contribute to the plant's anti-inflammatory, analgesic, and antioxidant properties.","Harpagophytum procumbens is a low-growing, trailing plant with a prostrate habit. It has large, lobed leaves and distinctive hooked fruits that resemble a claw, which aid in seed dispersal. The plant produces large, tuberous secondary roots that can extend several meters underground.","Harpagophytum procumbens has a long history of traditional use in southern Africa for treating a variety of ailments, including fever, diabetes, diarrhea, and inflammatory conditions such as arthritis, tendinitis, and kidney inflammation. Modern research has confirmed the plant's anti-inflammatory, analgesic, and antioxidant properties, supporting its traditional medicinal uses.","Harpagophytum procumbens is native to the Kalahari Desert region of southern Africa, including Namibia, Botswana, and South Africa. It can also be found in other parts of Africa with similar hot, arid climates.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/harpagophytum
"Devil's-tongue / Elephant-yam / Konjac / Konnyaku / Leopard Palm / Mo-yu / Snake Palm / Umbrella Arum
 ",Amorphophallus konjac,"Amorphophallus konjac, also known as Konjac, Voodoo Lily, Corpse Flower, Snake Plant, Snake Palm, and Devil's Tongue, is a herbaceous perennial plant native to warm subtropical to tropical eastern Asia. It is part of the Araceae family and grows from a subterranean tuber that can reach up to 50 pounds and a foot in diameter. The plant produces a single leaf from the tuber, which consists of a mottled pinkish-gray and olive green petiole and a deeply dissected leaf blade divided into numerous small leaflets. Large specimens can grow up to 4-6 feet tall with leaf blades up to 4 feet across.","The starchy tubers of Amorphophallus konjac are edible and used as a food source in parts of Asia. The tubers are processed into a tasteless flour or stiff jelly, which can be used as a vegan substitute for gelatin. In Japan, the tubers are used to make shirataki noodles and a popular Asian fruit jelly snack.","Konjac requires warm conditions to grow, with a minimum temperature of 60°F during the growing season and an optimum range of 68-77°F. The plant grows best in moist but well-drained, humus-rich, fertile soil and dappled shade, and does not tolerate clay soil or hot, afternoon sun. It is drought tolerant and frost hardy.","The tubers of Amorphophallus konjac contain calcium oxalate, which makes them toxic if consumed raw. The plant also produces an odor of rotten flesh when the flowers are ripe for pollination, which attracts carrion flies and midges.","Amorphophallus konjac produces a single leaf from the tuber each year, consisting of a mottled pinkish-gray and olive green petiole and a deeply dissected leaf blade divided into numerous small leaflets. The plant also produces a single inflorescence in late winter or spring before the leaf emerges. The inflorescence is made up of a dense, spike-like spadix bearing numerous small male and female flowers and a leafy, dark maroon to purple-brown spathe with ruffled margins.",Konjac has been used as a traditional medicine in Asia. It also have  potential benefits for treating constipation in rats.,"Konjac is primarily found in warm subtropical to tropical regions of eastern Asia, including Vietnam, Japan, China, and Indonesia. It can also be grown in cool to tropical climates.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/amorphophallus-konjac
Dhawaifool,Woodfordia fruticosa,Woodfordia fruticosa is a shrub that can grow up to 3 meters tall. It has reddish-brown bark and produces clusters of bright red flowers.,"The flowers of Dhawaifool are commonly used for medicinal purposes.
",Woodfordia grows well in tropical and subtropical regions with moderate rainfall. It prefers well-drained soil and can tolerate a wide range of soil types.,"The flowers of Woodfordia fruticosa contain tannins, flavonoids, and other phytochemicals that contribute to its medicinal properties.","Woodfordia fruticosa is a shrub with reddish-brown bark and clusters of bright red flowers. The leaves are simple, opposite, and lanceolate in shape.","In traditional medicine, Woodfordia fruticosa has been used to treat various ailments, including diarrhea, dysentery, and menorrhagia. The flowers are known for their astringent, anti-inflammatory, and hemostatic properties.","Woodfordia fruticosa is native to tropical and subtropical regions of Asia, including India, Sri Lanka, and parts of Southeast Asia. It can also be found in parts of Africa and Australia.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10599101/
Dill,Anethum graveolens,"Anethum graveolens, commonly known as dill, is an annual herb that belongs to the Apiaceae family. It is native to the Mediterranean region and western Asia.","The aerial parts of the plant, including the leaves, flowers, and seeds, are used for their medicinal and culinary properties.","Dill prefers warm, sunny conditions and well-drained soil. It can tolerate a wide range of soil types but thrives in fertile, slightly acidic soil.","The essential oil extracted from dill contains various compounds, including limonene, carvone, dihydrocarvone, and trans-carvone. These compounds contribute to the plant's antimicrobial, antioxidant, and anti-quorum sensing properties.","Dill is an aromatic herb that can grow up to 60 cm tall. It has finely divided, feathery leaves and yellow flowers that form flat-topped clusters. The seeds are oval-shaped and brown in color.","Dill has been used in traditional medicine to treat various ailments, such as digestive disorders, insomnia, and respiratory problems. The essential oil and extracts from the plant have shown antimicrobial, antioxidant, and anti-inflammatory properties.","Dill is widely cultivated in many parts of the world, including Europe, North America, and Asia. It grows well in temperate climates and can be grown as an annual or biennial crop.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3249919/
East Indian Walnut / Frywood / Koko / Lebbek / Lebbek Tree / Siris Tree / Women's-Tongue Tree,Albizia lebbeck,"Albizia lebbeck, commonly known as Siris, is a large deciduous tree belonging to the Fabaceae family. It is native to tropical southern Asia but has been widely cultivated in other tropical and subtropical regions. Albizia lebbeck can grow up to 20 meters tall, featuring bi-pinnate leaves that are 10-20 cm long. The tree produces white, fragrant flowers arranged in clusters, followed by flat pods containing six to twelve seeds. The bark is grayish-brown and has a rough texture.","The primary medicinal components of Albizia lebbeck are its pods, seeds, and bark. Pods are commonly used for their therapeutic benefits, seeds contribute to various health benefits, and bark extracts are utilized in traditional medicine practices.","Albizia lebbeck thrives in warm, tropical climates, ideally at temperatures between 20°C to 35°C. The plant requires moderate annual rainfall of 750 to 1500 mm and prefers well-drained sandy or loamy soils with a pH range of 6.0 to 7.5.","The plant is rich in bioactive compounds, such as saponins, flavonoids, and phenolic compounds. These elements contribute to its antioxidant and anti-inflammatory properties, enhancing its medicinal value.","Albizia lebbeck is characterized by bi-pinnate, feathery leaves and white, fragrant flowers that attract pollinators. Its long, flat pods mature to release seeds, marking its distinct reproductive structure.","Albizia lebbeck is traditionally utilized for its diverse medicinal properties, including antimicrobial, anti-inflammatory, and antidiabetic effects. It also shows neuroprotective potential, with promising applications in managing neurodegenerative conditions like Parkinson's disease.","Albizia lebbeck grows extensively across South Asia (India, Bangladesh, Sri Lanka), Southeast Asia (Thailand, Indonesia), and tropical regions in Africa, where it is widely cultivated.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/albizia-lebbeck
Echinacea / Coneflower,Echinacea purpurea,"Echinacea purpurea, commonly known as the purple coneflower, is a perennial herbaceous plant native to eastern North America. It is a member of the daisy family (Asteraceae) and is known for its distinctive purple-pink flowers with a prominent central cone.","The aerial parts of the Echinacea purpurea plant, including the leaves, stems, and flowers, are commonly used for medicinal purposes. The roots may also be utilized in some preparations.","Echinacea purpurea thrives in full sun to partial shade and prefers well-drained, moist soil. It can tolerate a wide range of soil types but performs best in rich, loamy soils. The plant is hardy and can withstand cold temperatures, making it suitable for growth in USDA hardiness zones 3-8.","Echinacea purpurea contains a variety of bioactive compounds, including polyphenols, alkylamides, and polysaccharides. The plant is particularly rich in caffeic acid derivatives, such as cichoric acid and caftaric acid, which are believed to contribute to its medicinal properties.
","Echinacea purpurea is a herbaceous plant that can grow up to 1-2 meters tall. It has large, coarsely toothed leaves and distinctive purple-pink flowers with a prominent central cone. The flowers typically bloom from mid-summer to early fall.","Echinacea purpurea has been used in traditional medicine for its immunomodulatory, anti-inflammatory, and wound-healing properties. Theextracts from the plant can enhance immune function, reduce inflammation, and promote wound healing.","Echinacea purpurea is native to the eastern and central regions of North America, including the United States and Canada. However, it has been successfully cultivated in various parts of the world, including Europe and Asia, where it is widely used in herbal medicine and cosmetic products.",https://www.sciencedirect.com/topics/biochemistry-genetics-and-molecular-biology/echinacea-purpurea
Elephant Garlic / Kurrat / Wild leek,Allium ampeloprasum,"Allium ampeloprasum, commonly known as wild leek, is a biennial herb that belongs to the genus Allium. It is closely related to cultivated leeks (Allium ampeloprasum var. porrum) and elephant garlic (Allium ampeloprasum var. ampeloprasum). Unlike onions, wild leeks do not form bulbs but instead consist of sheaths of basal leaves that can grow up to 15-25 cm long and 5 cm in diameter.","The edible parts of wild leek are the leaves and flowers. The leaves have a pleasant mild to strong garlic flavor and are available from late autumn to spring, although they can become tough and fibrous as they age. The flowers have a similar flavor to the leaves but have a somewhat dry texture and are best used as a flavoring in cooked foods.","Leeks thrive in temperate climates and require well-drained, loose soil for optimal growth. The ideal temperature for leek cultivation is around 20 °C (68 °F), and they are more cold-tolerant than many other Allium species, allowing for year-round production in suitable regions. While they can be seeded directly into the soil, they are often started in seedbeds and then transplanted after approximately 12 weeks when they reach a pencil thickness.","Leeks are rich in various nutrients and bioactive compounds. They contain organosulfur compounds, which are known for their potential health benefits, including antimicrobial and anti-inflammatory properties. Nutritionally, leeks provide vitamins A, C, K, and several B vitamins, along with minerals such as iron, calcium, and manganese. They are also a source of dietary fiber, contributing to digestive health.","Morphologically, Allium ampeloprasum exhibits several distinctive features. The plant typically has a cylindrical stalk that can reach significant heights, with broad, flat leaves that grow from the base. The flowers, which appear in clusters, are usually spherical and can be white or purple, attracting various pollinators. The root system consists of a bulb that is often larger than that of other Allium species, which aids in nutrient storage and growth.","Leeks have been recognized for their medicinal properties in various cultures. They are believed to possess antioxidant, anti-inflammatory, and antimicrobial effects, making them beneficial for overall health. The consumption of leeks may support cardiovascular health, improve digestion, and enhance immune function. Additionally, the presence of vitamins and minerals contributes to their role in promoting general well-being.","Allium ampeloprasum is cultivated in many regions worldwide, particularly in temperate climates. Major producers include countries in Europe, such as France, the Netherlands, and the United Kingdom, where leeks are a staple vegetable. They can also be found in parts of Asia and North America, where they are grown in home gardens and commercial farms alike. The adaptability of leeks to various soil types and climates makes them a popular choice for cultivation in diverse agricultural settings.",https://www.sciencedirect.com/topics/agricultural-and-biological-sciences/allium-ampeloprasum
Epazote / Wormseed,Chenopodium ambrosioides ,"Chenopodium ambrosioides, also known as epazote is an annual or short-lived perennial herb native to the Americas. It grows up to 1.2 m (3 ft 11 in) tall, with irregularly branched stems and oblong-lanceolate leaves up to 12 cm (4+1⁄2 in) long. The small green flowers are produced in a branched panicle at the apex of the stem.","The aerial parts of epazote, including the stem, leaves, and flowers, are commonly used as a condiment and for their medicinal properties.",Epazote grows well in warm temperate to subtropical areas. It can be found in its native range in tropical Central and South America.,"The essential oil of ambrosioides contains terpene compounds, some of which have natural pesticide capabilities. The compound ascaridole is a major constituent of the essential oil.",C. ambrosioides is an annual or short-lived perennial herb with irregularly branched stems and oblong-lanceolate leaves up to 12 cm long. The small green flowers are produced in a branched panicle at the apex of the stem.,Epazoate has been used in traditional medicines worldwide for its various medicinal properties. The essential oil has been commercialized to control greenhouse insects and mites.,"In addition to its native range in tropical Central and South America, C. ambrosioides is also grown in warm temperate to subtropical areas of Europe and the United States, sometimes becoming an invasive weed.",https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/chenopodium-ambrosioides
Evening-Primrose / Primrose oil,Oenothera biennis,"Oenothera biennis, commonly known as the common evening-primrose, is a species of flowering plant native to eastern and central North America. It typically has a biennial life cycle, growing as a low, spreading herb in the first year with leaves in a rosette, and then reaching up to 1.6 m tall on a semi-woody stem in the second year before flowering and seeding. The yellow flowers are 2.5-5 cm in diameter with four bilobed petals, opening visibly fast in the evening.","All parts of the Oenothera biennis plant can be used, including the leaves, stems, and seeds. Evening primrose oil is produced from the seeds.","Oenothera biennis prefers sunny areas with average moisture conditions, but it can also grow in less favorable conditions. It is a weedy species that favors disturbed environments and has been introduced and become established on all continents except Antarctica.","Common components of all parts of Oenothera biennis plants are fatty acids, phenolic acids, and flavonoids. The seeds also contain gamma-linolenic acid (GLA).","Oenothera biennis grows to 1.6 m tall in the seeding year. The leaves are lanceolate, 8-18 cm long and 2-6 cm wide. The yellow flowers are 2.5-5 cm in diameter with four bilobed petals. The fruit is a capsule 2-4 cm long containing numerous 1-2 mm long seeds.","Oenothera biennis has been indicated as beneficial in the treatment of many diseases. Evening primrose oil is used to assist with pain relief, osteoporosis, fertility, diabetes, acne and other conditions.",Oenothera biennis is native to eastern and central North America but has been introduced and become established on all continents except Antarctica. It has adapted to new areas and about 70 species are now present in Europe.,https://www.sciencedirect.com/topics/medicine-and-dentistry/oenothera-biennis
Eyebright,Euphrasia officinalis,"Euphrasia officinalis, commonly known as eyebright, is a small annual herb that belongs to the Orobanchaceae family. It is native to Europe, North Africa, and parts of Asia, and is widely used in traditional medicine for its medicinal properties. Eyebright is a small, semi-parasitic plant that grows to a height of 5-25 cm. It has a slender, erect stem that is often branched. The leaves are opposite, sessile, and oblong-lanceolate in shape, with toothed margins. The flowers are small, white or pale purple, and have a two-lipped corolla. The fruit is a capsule containing small, brown seeds.","The aerial parts of the Euphrasia officinalis plant, including the leaves, stems, and flowers, are the parts commonly used for medicinal purposes.","Eyebright prefers cool, moist environments and grows best in well-drained, acidic soils. It thrives in areas with cool summers and mild winters, such as in mountainous regions or northern latitudes.","Euphrasia officinalis contains a variety of bioactive compounds, including iridoid glycosides, flavonoids, tannins, and phenolic acids. These compounds are believed to contribute to the plant's medicinal properties.","The plant has a slender, erect stem that is often branched. The leaves are opposite, sessile, and oblong-lanceolate in shape, with toothed margins. The flowers are small, white or pale purple, and have a two-lipped corolla.","Eyebright has been used in traditional medicine for a variety of purposes, including the treatment of eye-related conditions, such as conjunctivitis, blepharitis, and dry eyes. It is also believed to have anti-inflammatory, astringent, and antiseptic properties, and has been used to treat respiratory conditions, such as sinusitis and bronchitis.","Euphrasia officinalis is native to Europe, North Africa, and parts of Asia, and is widely distributed in these regions. It can be found growing in mountainous areas, meadows, and other cool, moist environments.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6275060/
Feathery coconut / Queen palm,Arecastrum romanzoffianum ,"Arecastrum romanzoffianum, commonly known as the queen palm, is a tall palm species native to South America. It features a slender trunk with feathery fronds that can reach lengths of up to 5 meters.","The fronds are often used for ornamental purposes; the seeds can also be harvested for various uses.
",Queen palms thrive in warm climates with full sun exposure. They prefer well-drained soils and are typically grown in USDA zones 10-11.,"While not extensively studied for medicinal properties like other plants mentioned here, the seeds contain oils that may have potential benefits.",This palm has a smooth trunk topped with long arching fronds that give it an elegant appearance. The inflorescences produce small yellow flowers followed by black fruits.,"Limited research exists on the medicinal uses of queen palm; however, it may have some applications in traditional medicine among indigenous cultures.",Native to tropical regions of South America but widely cultivated in subtropical areas around the world for landscaping purposes.,https://www.sciencedirect.com/science/article/abs/pii/S1874390010000236
Fennel,Foeniculum vulgare,"Foeniculum vulgare, commonly known as fennel, is a perennial herb native to the Mediterranean region. It is a member of the Apiaceae (carrot) family and is characterized by its feathery, aromatic leaves and yellow flowers that form umbrella-shaped clusters. ","The entire plant of Foeniculum vulgare is utilized for various purposes. The most commonly used parts are the fruits (seeds), leaves, and roots.","Fennel thrives in warm, temperate climates and prefers well-drained, fertile soil. It can tolerate a wide range of soil types but performs best in full sun exposure. Fennel is drought-tolerant and can withstand moderate salinity levels.","The essential oil of Foeniculum vulgare is the primary source of its medicinal and aromatic properties. The oil is composed of compounds such as trans-anethole, fenchone, and estragole, which contribute to its carminative, antispasmodic, and antimicrobial effects.","Fennel is a tall, branching herb that can reach up to 2 meters in height. It has feathery, finely divided leaves and hollow, grooved stems. The flowers are small and yellow, forming umbrella-shaped clusters. The fruits are oblong-shaped and contain numerous small seeds.","Fennel has a long history of use in traditional medicine for its various therapeutic properties. It is known to have carminative (gas-expelling), antispasmodic, analgesic, anti-inflammatory, antimicrobial, and mild diuretic effects. Fennel is commonly used to aid digestion, relieve gastrointestinal discomfort, and improve the functional state of the gastrointestinal tract.","Foeniculum vulgare is widely cultivated and naturalized in many parts of the world, including the Mediterranean region, Western Asia, Europe, and North America. It thrives in temperate climates and can be found growing in various habitats, such as roadsides, fields, and waste areas.",https://www.sciencedirect.com/science/article/pii/S1878535212000792
Fenugreek,Trigonella foenum-graecum,"Trigonella foenum-graecum, commonly known as fenugreek, is an annual herb that belongs to the Fabaceae family. It is a leguminous plant cultivated worldwide for its leaves and seeds, which are used as a vegetable, spice, and medicinal herb.","The most commonly used parts of fenugreek are the seeds and leaves. The seeds are used as a spice and for medicinal purposes, while the leaves are used as a vegetable and for medicinal purposes.","Fenugreek thrives in warm climates and requires well-drained soil with a pH between 6.0 and 7.5. It can tolerate a wide range of temperatures, but the ideal temperature range for growth is between 20°C and 30°C. Fenugreek is sensitive to frost and requires adequate moisture during the growing season.","Fenugreek seeds contain a variety of chemical compounds, including alkaloids, flavonoids, saponins, and volatile oils. The seeds are a rich source of proteins, fibers, and minerals such as iron, phosphorus, and calcium.","Fenugreek is an erect annual herb that can grow up to 60 cm tall. The leaves are trifoliate, with leaflets that are oblong or lanceolate in shape. The flowers are small, white or yellow, and are borne in clusters. The fruits are long, slender pods that contain small, angular, brownish-yellow seeds.","Fenugreek has a wide range of medicinal properties. It has been used to treat various conditions, including diabetes, high cholesterol, digestive issues, and inflammation. Fenugreek seeds have been shown to have antioxidant, anti-inflammatory, and antimicrobial properties.","Fenugreek is cultivated in many parts of the world, including India, North Africa, and the Middle East. It is also grown in Europe, North America, and South America.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4739449/
Feverfew,Tanacetum parthenium,"Tanacetum parthenium, commonly known as feverfew, is a perennial herbaceous plant belonging to the Asteraceae family. It is a bushy, aromatic plant that can grow up to 60 cm tall. The leaves are alternate, pinnately divided, and have a strong, pungent odor. The flowers are small, daisy-like, and white or yellow in color, appearing in clusters at the top of the plant.","The aerial parts of the plant, including the leaves, flowers, and stems, are the parts most commonly used for medicinal purposes.",Feverfew prefers well-drained soil and full sun to partial shade. It can tolerate a wide range of soil types and grows best in temperate climates.,"The essential oil of feverfew contains a variety of compounds, with camphor, trans-chrysanthenyl acetate, camphene, and cis-isogeraniol being the dominant components. The plant also contains parthenolide, flavonoids, and phenolic compounds. The plant is rich in various bioactive compounds, including Sesquiterpene lactones, such as parthenolide, which are responsible for the plant's anti-inflammatory and anti-migraine properties, Flavonoids, such as luteolin and apigenin, which possess antioxidant and anti-inflammatory activities and Essential oils, containing compounds like camphor, artemisia ketone, and 1,8-cineole","The plant has a well-developed taproot system and a branched, erect stem. The leaves are alternate, pinnately divided, and have a strong, pungent odor. The flowers are small, daisy-like, and white or yellow in color, appearing in clusters at the top of the plant.","Feverfew has a long history of use in traditional medicine for treating various conditions, including fever, pain, inflammation, asthma, rheumatism, menstrual disorders, and migraine headaches. However, the efficacy of feverfew for migraine prevention is inconclusive.","Feverfew is widely distributed in various regions of Europe and other parts of the world. It is native to the Balkan Peninsula and has been introduced to other regions, including North America and Asia.",https://pmc.ncbi.nlm.nih.gov/articles/PMC3210009/
